Timestamp,1. 다음 중 사용해본 NH 앱을 모두 선택해주세요.,2. 가장 먼저 어떤 행동을 하시겠어요?,3. 그렇게 선택한 가장 큰 이유는 무엇인가요?,4. 선택한 행동으로 카드 신청 화면을 찾을 수 있다고 얼마나 확신하시나요?,5. 처음 선택한 방법으로 카드 신청 화면을 찾지 못한다면 다음에 어떻게 하시겠어요?,6. 이전에 K-패스카드를 직접 발급하거나 발급 경로를 찾아본 적이 있나요?,7. NH 앱에서 원하는 기능을 찾을 때 헷갈렸던 경험이 있다면 적어주세요.,카카오톡 
8/19/2026 22:35:06,"NH콕뱅크, NHPAY, NH올원뱅크",어느 앱인지 몰라 인터넷에서 다시 찾아본다,어느 앱인지 몰라서 다시 알아보려고,2,고객센터나 주변 사람에게 물어본다,직접 발급한 적이 있다,,
8/19/2026 22:35:47,NH스마트뱅킹,NH스마트뱅킹을 연다,앱 이름상 카드·결제와 관련 있어 보여서,3,구글·네이버 등에서 담당 앱과 경로를 검색한다,없다,"NH앱을 주로 사용하지 않아서 기재가 어렵지만, 보통 은행 어플 내 돋보기 아이콘 클릭 후 검색하여 원하는 정보를 찾았습니다!",
8/19/2026 22:37:58,사용해본 앱 없음,NH스마트뱅킹을 연다,앱 이름상 카드·결제와 관련 있어 보여서,5,구글·네이버 등에서 담당 앱과 경로를 검색한다,직접 발급한 적이 있다,,
8/19/2026 22:46:08,"NH스마트뱅킹, NH콕뱅크, NH올원뱅크",NH올원뱅크를 연다,여러 금융 기능을 모두 제공할 것 같아서,2,구글·네이버 등에서 담당 앱과 경로를 검색한다,없다,다른 은행 대비 앱이 너무 많아요,
8/19/2026 22:47:03,NH콕뱅크,NH콕뱅크를 연다,앱 이름상 카드·결제와 관련 있어 보여서,4,구글·네이버 등에서 담당 앱과 경로를 검색한다,발급 경로를 찾아본 적만 있다,없음,
8/19/2026 22:50:24,NH스마트뱅킹,NH스마트뱅킹을 연다,해당 앱이 카드 발급을 담당한다고 알고 있어서,5,다른 NH 앱을 하나씩 확인한다,직접 발급한 적이 있다,없음,
8/19/2026 23:01:54,사용해본 앱 없음,어느 앱인지 몰라 인터넷에서 다시 찾아본다,어느 앱인지 몰라서 다시 알아보려고,3,구글·네이버 등에서 담당 앱과 경로를 검색한다,직접 발급한 적이 있다,,
8/19/2026 22:54:21,"NH스마트뱅킹, NH올원뱅크",NH올원뱅크를 연다,평소 가장 자주 사용하는 NH 앱이라서,1,구글·네이버 등에서 담당 앱과 경로를 검색한다,없다,존나많음 뭐하나 찾을라하면 하루종일 걸림 카드 비번바꾸는것도 찾기어렵고 출금 한도 높이는것도 찾다가 포기하고 은행에 방문해서 바꿈 줴줴이야,
8/19/2026 23:02:12,사용해본 앱 없음,어느 앱인지 몰라 인터넷에서 다시 찾아본다,어느 앱인지 몰라서 다시 알아보려고,4,구글·네이버 등에서 담당 앱과 경로를 검색한다,직접 발급한 적이 있다,,
8/19/2026 23:10:37,NH올원뱅크,NH올원뱅크를 연다,기타,5,고객센터나 주변 사람에게 물어본다,없다,그냥 nh자체가 ui ux가 안 좋음,
8/19/2026 23:11:32,NH올원뱅크,어느 앱인지 몰라 인터넷에서 다시 찾아본다,정확히 몰라 임의로 선택해서,4,고객센터나 주변 사람에게 물어본다,없다,,
8/19/2026 23:12:42,"NH콕뱅크, NHPAY, NH올원뱅크",어느 앱인지 몰라 인터넷에서 다시 찾아본다,어느 앱인지 몰라서 다시 알아보려고,5,구글·네이버 등에서 담당 앱과 경로를 검색한다,없다,"NH 어플이 잘못 되어있던점이 하나의 농협에서 NH콕뱅크 올원뱅크,NH pay등 여러가지로 나뉘어있었기에 어플 사용자들이 굉장히 불편하다. ",
8/19/2026 23:14:35,"NH스마트뱅킹, NH올원뱅크",NH올원뱅크를 연다,여러 금융 기능을 모두 제공할 것 같아서,4,구글·네이버 등에서 담당 앱과 경로를 검색한다,직접 발급한 적이 있다,,
8/19/2026 23:15:22,"NH스마트뱅킹, NHPAY",NH스마트뱅킹을 연다,평소 가장 자주 사용하는 NH 앱이라서,3,카드 신청을 포기한다,없다,찾아보는 기능이 잘 없다,
8/20/2026 0:25:52,사용해본 앱 없음,NH올원뱅크를 연다,여러 금융 기능을 모두 제공할 것 같아서,3,구글·네이버 등에서 담당 앱과 경로를 검색한다,없다,,
8/20/2026 8:02:19,사용해본 앱 없음,NH스마트뱅킹을 연다,앱 이름상 카드·결제와 관련 있어 보여서,2,다른 NH 앱을 하나씩 확인한다,없다,,
8/20/2026 9:50:43,사용해본 앱 없음,NH올원뱅크를 연다,여러 금융 기능을 모두 제공할 것 같아서,4,구글·네이버 등에서 담당 앱과 경로를 검색한다,직접 발급한 적이 있다,,
8/20/2026 9:52:13,사용해본 앱 없음,어느 앱인지 몰라 인터넷에서 다시 찾아본다,어느 앱인지 몰라서 다시 알아보려고,2,구글·네이버 등에서 담당 앱과 경로를 검색한다,직접 발급한 적이 있다,,
8/20/2026 9:52:16,사용해본 앱 없음,어느 앱인지 몰라 인터넷에서 다시 찾아본다,앱 이름상 카드·결제와 관련 있어 보여서,3,고객센터나 주변 사람에게 물어본다,발급 경로를 찾아본 적만 있다,,
8/20/2026 10:02:22,"NHPAY, NH올원뱅크",NHPAY를 연다,해당 앱이 카드 발급을 담당한다고 알고 있어서,4,구글·네이버 등에서 담당 앱과 경로를 검색한다,직접 발급한 적이 있다,,
8/20/2026 10:08:53,NH콕뱅크,어느 앱인지 몰라 인터넷에서 다시 찾아본다,어느 앱인지 몰라서 다시 알아보려고,1,카드 신청을 포기한다,없다,앱이 너무 많아서 언제 무슨 앱을 쓰는지 파악불가,
8/20/2026 16:00:36,"NH스마트뱅킹, NH올원뱅크",NH올원뱅크를 연다,평소 가장 자주 사용하는 NH 앱이라서,3,구글·네이버 등에서 담당 앱과 경로를 검색한다,직접 발급한 적이 있다,,
8/20/2026 17:20:52,사용해본 앱 없음,어느 앱인지 몰라 인터넷에서 다시 찾아본다,어느 앱인지 몰라서 다시 알아보려고,4,카드 신청을 포기한다,직접 발급한 적이 있다,,
8/20/2026 17:31:25,NH올원뱅크,NH올원뱅크를 연다,앱 이름상 카드·결제와 관련 있어 보여서,4,구글·네이버 등에서 담당 앱과 경로를 검색한다,없다,,
8/23/2026 18:44:55,사용해본 앱 없음,어느 앱인지 몰라 인터넷에서 다시 찾아본다,어느 앱인지 몰라서 다시 알아보려고,5,고객센터나 주변 사람에게 물어본다,없다,,
